instruction,input,output
Introduction sur la fixation et révision du fermage viticole,Quel est le cadre de révision sur le fermage agricole ?,L’encadrement des modalités de fixation du loyer dans le bail à ferme constitue l’une des clés de voûte du Statut du fermage.
Disposition de fixation et révision du fermage viticole,Quel sont les dispositions de révision sur le fermage agricole ?,"Les dispositions qui fixent ces modalités (articles L. 411-1 et suivants du code rural et de la pêche maritime (CRPM)) sont d’ailleurs d’ordre public, caractère affirmé aux termes de l’article L. 411- 14 de ce code:  « Les dispositions des articles L. 411-11 à L. 411-13 sont d'ordre public ; celles du deuxième alinéa de l'article L. 411-13 ont un caractère interprétatif. »"
Régime du fermage viticole,Quel régime sur le fermage agricole ?,"Le bail à ferme ayant pour objet la mise à disposition de biens immobiliers destinés à l’exercice d’une activité viticole relève du champ d’application du Statut du fermage dès lors que cette destination entre dans les prévisions de l’article L. 311-1 du CRPM qui définit l’activité agricole. La fixation du fermage viticole est donc soumise à un régime commun avec celui régissant la fixation du fermage en général : en cela, le fermage viticole est un fermage comme un autre. Néanmoins, compte tenu d’usages fortement ancrés en matière viticole, le Statut du fermage a su prévoir (ou plutôt conserver) des modalités particulières permettant de concilier le caractère d’ordre public, les usages et une relative liberté contractuelle."
Prix du fermage agricole,Quel et le prix du fermage agricole ?,"Il convient ici de s’en rapporter aux dispositions des articles L. 411-11 et L. 411-12 du CRPM. L’article L. 411-11 du CRPM fixe le cadre général pour la fixation du fermage :
Critères de fixation propres aux biens loués et aux caractéristiques de la location
« Le prix de chaque fermage est établi en fonction, notamment, de la durée du bail, compte tenu d’une éventuelle clause de reprise en cours de bail, de l’état et de l’importance des bâtiments d’habitation et d’exploitation, de la qualité des sols ainsi que de la structure parcellaire du bien loué et, le cas échéant, de l’obligation faite au preneur de mettre en œuvre des pratiques culturales respectueuses de l’environnement en application de l’article L. 411-27.  Ce prix est constitué, d’une part, du loyer des bâtiments d’habitation et, d’autre part, du loyer des bâtiments d’exploitation et des terres nues. »
"
Minima et maxima du fermage agricole,Quel sont les minima et maxima sur le fermage agricole ?,"Des minima et maxima exprimés en monnaie et fixés par le préfet du département.   Le loyer des terres nues et des bâtiments d'exploitation est fixé en monnaie entre des maxima et des
minima arrêtés par l'autorité administrative. Il convient ici d’observer, s’agissant de la mise à disposition de bâtiments d’exploitation, que le loyer
relève des dispositions du Statut du fermage lorsque lesdits bâtiments sont affectés, au moins à titre principal, à des activités qui s’inscrivent dans le prolongement d’un acte de production agricole/ viticole entendu au sens de l’article L. 311-1 du CRPM, c’est-à-dire, généralement, à la transfor- mation en moûts ou vins des raisins issus de l’exploitation du locataire ou à la commercialisation de ces produits."
Rendu du Conseil d'état ,Qu'est ce qu'à jugé cour administrative de Lyon sur la mise à disposition de bâtiments destinés à la transformation?,"A contrario, la mise à disposition de bâtiments destinés à la transformation et/ou à la commercialisation de vins issus de raisins récoltés en dehors de l’exploitation du locataire ne relève pas du Statut du fermage : CE, 18 févr. 2009, n° 300659
« Considérant qu'après avoir relevé que la société LABOURE ROI a pour objet, outre le négoce de vin, la sélection, la vinification et l'élevage de raisins qu'elle acquiert auprès de viticulteurs, la cour administrative de Lyon n'a pas commis d'erreur de qualification juridique en jugeant que ces activités de transformation, ne correspondant pas à la maîtrise et à l'exploitation d'un cycle biologique végétal et ne s'inscrivant pas dans le prolongement d'un acte de production effectué par la société, qui n'exploite pas de vignes, ne présentaient pas un caractère agricole au sens de l'article L. 311-1 du code rural ; qu'elle en a déduit à bon droit que la reprise litigieuse par le GFA DOMAINE CHANTAL LESCURE ne privait pas un exploitant agricole d'un bâtiment essentiel à l'exploitation et n'entrait donc pas dans le champ d'application du 2° de l'article L. 331-2 du même code »"
Une indexation annuelle du fermage et du barème préfectoral,Quels sont les indices d'un fermage agricole?,"Ce loyer ainsi que les maxima et les minima sont actualisés chaque année selon la variation d’un indice national des fermages. Cet indice est composé :
a) Pour 60 % de l’évolution du revenu brut d’entreprise agricole à l’hectare constaté sur le plan national au cours des cinq années précédentes ;
b) Pour 40 % de l’évolution du niveau général des prix de l’année précédente.
Les modalités de calcul de l’indice et de ses composantes sont précisées par voie réglementaire.
L’indice national des fermages et sa variation annuelle sont constatés avant le 1er octobre de chaque année par arrêté du ministre chargé de l’agriculture. »"
La possibilité d’un fermage exprimé en nature ,Est-ce possible qu’un fermage agricole puisse être exprimé en nature  ?,"L’alinéa 8 de l’article L. 411-11 du CRPM prévoit une modalité spécifique pour les fermages affé- rant à des « cultures pérennes » ou « cultures permanentes », parmi lesquelles les terres destinées à l’exploitation de vignes :
« Par dérogation aux dispositions précédentes, le loyer des terres nues portant des cultures perma- nentes viticoles, arboricoles, oléicoles et agrumicoles et des bâtiments d’exploitation y afférents peut être évalué en une quantité de denrées comprise entre des maxima et des minima arrêtés par l’autorité administrative. Dans ce cas, les dispositions relatives à l’actualisation du loyer des terres nues et des bâtiments d’exploitation prévues au présent article ne s’appliquent pas. »
Jusqu’à la loi n°95-2 du 2 janvier 1995 relative au prix des fermages, le fermage exprimé en denrée était la norme ; à compter de cette loi, cette modalité devient une dérogation réservée à certaines cultures.
Toutefois, si le fermage viticole peut être exprimé en une quantité de denrée, il doit l’être dans le respect de minima et maxima fixés par le préfet du département, à l’instar du fermage exprimé en monnaie.
Cet alinéa précise, lorsque le fermage est exprimé en une quantité de denrées, l’absence d’indexa- tion suivant l’indice annuel du fermage.
"
Article R. 411-1 du CRPM sur l’obligation pour le préfet du département ,"Quelle est l’obligation pour le préfet du département de fixer, pour les cultures permanentes visées, des minima et maxima à la fois en monnaie et en denrées ?","Les dispositions des articles R. 411-1 et R. 411-2 du CRPM paraissent bien imposer au préfet de fixer à la fois un barème en monnaie et un barème en denrée :
Article R. 411-1 du CRPM
« Pour l’application de l’article L. 411-11, le préfet fixe, par arrêté publié au recueil des actes administratifs de la préfecture :
1° Les maxima et minima des loyers des bâtiments d’habitation sont exprimés en monnaie et calculés par mètre carré de surface définie conformément aux dispositions de la loi n° 65-557 du 10 juillet 1965 fixant le statut de la copropriété des immeubles bâtis. Ces montants sont arrêtés par catégories en fonction de l’état d’entretien et de conservation des logements, de leur importance, de leur confort et de leur situation par rapport à l’exploitation ; ils tiennent compte des indicateurs publics ou privés mesurant les loyers pratiqués localement ;
2° Les maxima et minima exprimés en monnaie des loyers représentant les valeurs locatives normales des bâtiments d’exploitation et des terres nues, éventuellement par régions naturelles agricoles ;
3° Les quantités maximales et minimales de denrées qui, dans les différentes régions naturelles agricoles du département, représentent les valeurs locatives normales des terres nues portant des cultures permanentes viticoles, arboricoles, oléicoles et agrumicoles et des bâtiments d’ex- ploitation y afférents. Les denrées dont les quantités sont ainsi indiquées doivent être choisies en fonction des différents types d’exploitations existant dans les régions. »
"
Article R. 411-1 du Code rural et de la pêche maritime,Que dit Article R. 411-1 du CRPM ?,"Pour l’application de l’article L. 411-11, le préfet fixe, par arrêté publié au recueil des actes
administratifs de la préfecture :
1° Les maxima et minima des loyers des bâtiments d’habitation sont exprimés en monnaie et calculés par mètre carré de surface définie conformément aux dispositions de la loi n° 65-557 du 10 juillet 1965 fixant le statut de la copropriété des immeubles bâtis. Ces montants sont arrêtés par catégories en fonction de l’état d’entretien et de conservation des logements, de leur importance, de leur confort et de leur situation par rapport à l’exploitation ; ils tiennent compte des indicateurs publics ou privés mesurant les loyers pratiqués localement ;
2° Les maxima et minima exprimés en monnaie des loyers représentant les valeurs locatives normales des bâtiments d’exploitation et des terres nues, éventuellement par régions naturelles agricoles ;
3° Les quantités maximales et minimales de denrées qui, dans les différentes régions naturelles agricoles du département, représentent les valeurs locatives normales des terres nues portant des cultures permanentes viticoles, arboricoles, oléicoles et agrumicoles et des bâtiments d’ex- ploitation y afférents. Les denrées dont les quantités sont ainsi indiquées doivent être choisies en fonction des différents types d’exploitations existant dans les régions"
